,Monthly Nominal GDP Index,Monthly Real GDP Index
2013 - Feb,16576.741,16372.368
2013 - Mar,16634.638,16437.423
2013 - Apr,16651.454,16451.512
2013 - May,16651.634,16420.029
2013 - Jun,16795.565,16521.919
2013 - Jul,16851.838,16556.665
2013 - Aug,16934.992,16619.24
2013 - Sep,16946.374,16608.592
2013 - Oct,17049.312,16675.677
2013 - Nov,17174.133,16753.92
2013 - Dec,17175.898,16708.962
2014 - Jan,17072.722,16605.083
2014 - Feb,17164.077,16680.968
2014 - Mar,17196.044,16677.009
2014 - Apr,17354.696,16803.294
2014 - May,17478.13,16867.228
2014 - Jun,17555.283,16934.148
2014 - Jul,17689.459,17022.452
2014 - Aug,17797.996,17117.279
2014 - Sep,17742.226,17054.473
2014 - Oct,17845.648,17143.142
2014 - Nov,17869.415,17152.002
2014 - Dec,17842.557,17128.883
2015 - Jan,17927.211,17274.838
2015 - Feb,18058.455,17353.545
2015 - Mar,17988.378,17213.689
2015 - Apr,18148.701,17389.551
2015 - May,18179.245,17349.749
2015 - Jun,18253.176,17403.536
2015 - Jul,18275.343,17403.909
2015 - Aug,18283.995,17407.732
2015 - Sep,18361.542,17499.93
2015 - Oct,18355.661,17488.269
2015 - Nov,18294.443,17422.648
2015 - Dec,18346.133,17477.131
2016 - Jan,18396.933,17548.082
2016 - Feb,18361.571,17517.788
2016 - Mar,18517.414,17630.853
2016 - Apr,18604.665,17643.776
2016 - May,18585.653,17588.915
2016 - Jun,18644.533,17623.197
2016 - Jul,18663.844,17631.425
2016 - Aug,18776.173,17739.288
2016 - Sep,18886.36,17802.672
2016 - Oct,18859.324,17736.485
2016 - Nov,18983.572,17834.857
2016 - Dec,19061.227,17866.324
2017 - Jan,19086.108,17844.816
2017 - Feb,19133.181,17871.572
2017 - Mar,19225.293,17951.038
2017 - Apr,19173.934,17869.653
2017 - May,19310.015,17990.141
2017 - Jun,19429.569,18078.106
2017 - Jul,19444.351,18062.15
2017 - Aug,19539.335,18118.494
2017 - Sep,19702.002,18203.592
2017 - Oct,19754.399,18200.931
2017 - Nov,19910.848,18333.439
2017 - Dec,20019.003,18396.821
2018 - Jan,20051.034,18382.753
2018 - Feb,20203.179,18486.272
2018 - Mar,20212.245,18442.615
2018 - Apr ,20359.919,18513.112
2018 - May,20489.777,18575.519
2018 - Jun,20560.895,18608.731
2018 - Jul,20615.762,18643.982
2018 - Aug,20711.521,18736.854
2018 - Sep,20734.551,18718.731
2018 - Oct,20816.897,18735.846
2018 - Nov,20790.244,18695.36
2018 - Dec,20850.666,18770.348
2019 - Jan,20979.353,18835.474
2019 - Feb,20997.286,18828.085
2019 - Mar,21062.616,18842.991
2019 - Apr,21201.479,18909.989
2019 - May,21240.986,18927.556
2019 - Jun,21374.879,19049.231
2019 - Jul,21491.623,19101.906
2019 - Aug,21533.792,19129.456
2019 - Sep,21570.102,19161.684
2019 - Oct,21624.163,19142.361
2019 - Nov,21714.327,19239.277
2019 - Dec,21781.106,19265.769
2020 - Jan,21778.862,19210.167
2020 - Feb,21949.245,19370.202
2020 - Mar,20885.989,18390.281
2020 - Apr,18690.342,16573.953
2020 - May,19512.564,17284.289
2020 - Jun,20707.286,18281.369
2020 - Jul,21101.147,18536.839
2020 - Aug,21339.655,18736.322
2020 - Sep,21646.482,18963.072
2020 - Oct,21812.025,19057.123
2020 - Nov,21587.927,18846.698
2020 - Dec,21714.166,18874.369
2021 - Jan,22218.361,19224.153
2021 - Feb,22029.242,18992.22
2021 - Mar,22693.947,19438.25
2021 - Apr,22824.56,19454.39
2021 - May,23081.958,19580.342
2021 - June,23234.283,19604.133
2021 - July,23321.814,19564.856
2021 - Aug,23592.489,19703.824
2021 - Sep,23736.956,19755.293
2021 - Oct,24211.743,20005
2021 - Nov,24314.385,19976.9
2021 - Dec,24521.235,20043.034
